Model,train_time_mean(s),train_time_std,predict_time_mean(s),predict_time_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,logloss_mean,logloss_std,accuracy_overfitting_gap_mean,accuracy_overfitting_gap_sd,loss_overfitting_gap_mean,loss_overfitting_gap_sd,faithfulness_mean,faithfulness_std,stability_mean,stability_std,local_sparsity_mean,local_sparsity_std,global_sparsity_mean,global_sparsity_std,transparency_mean,transparency_sd
MLP+SHAP,1.9246569224999983,0.1284291475716713,0.0048214025666917,0.000142934588469,0.858014329580348,0.0020296081159378227,0.7942223720634268,0.002641902484766514,0.3077704081944517,0.0012003345876009743,0.001517939567565918,0.0017264095385251318,0.003442007303237915,0.0037409831216808033,0.721765649318695,0.04006062505290469,0.9221820938251277,0.0028533555654679213,0.7379669934136108,0.00913874560678736,0.630810658361713,0.0186247289938823,N/A,N/A
NAM,15.202879644933272,1.173229583284136,0.0137885099966176,0.0011544092763057,0.8557215967246675,0.0015140112251464174,0.7878825000687313,0.002106486726543796,0.304349105522011,0.000776069640850274,-0.002912461757659912,0.0008606630994668031,-0.004072701930999756,0.0002551297015951772,0.7426609873771668,0.01581283204907335,0.9899515480412402,0.001968322495273672,0.7301461991088563,0.010612480821295607,0.6166168983163908,0.020149499891149225,N/A,N/A
LogReg+MLP,1.2494677902799838,0.2276944670761944,0.005090600138307,0.0001359436280219,0.8568679631525077,0.0009425477529762026,0.7883767359193998,0.0007009480272922722,0.30836187379014685,0.001162968077153423,0.011232116189025443,0.0027120926597231413,0.01663053796870152,0.003833284003735055,0.6677954792976379,0.032047001983698316,1.0,0.0,0.8340153410686864,0.0,0.7191953070625476,0.0,0.5293756397134084,0.0
