Model,train_time_mean(s),train_time_std,predict_time_mean(s),predict_time_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,logloss_mean,logloss_std,accuracy_overfitting_gap_mean,accuracy_overfitting_gap_sd,loss_overfitting_gap_mean,loss_overfitting_gap_sd,faithfulness_mean,faithfulness_std,stability_mean,stability_std,local_sparsity_mean,local_sparsity_std,global_sparsity_mean,global_sparsity_std,transparency_mean,transparency_sd
MLP+SHAP,0.2235245602817061,0.0065344630486234,0.0013819705565886,1.3992381147985414e-05,0.703883495145631,0.001981787817785742,0.6961908698010539,0.0021556717047904565,0.5747101947012164,0.001609324288379557,0.017258203029632567,0.005660271557140722,0.01708115339279175,0.005522461103923728,0.7919766426086425,0.009499327861987195,0.8871192549866569,0.013140816624213406,0.6366806556850383,0.019237442477831244,0.5466669486377643,0.021730392796204652,N/A,N/A
NAM,0.6524181397233042,0.0102665416739646,0.0038226181933714,8.984736426072495e-05,0.7071197411003236,0.0022883714601506905,0.6986827619314759,0.002133529029253244,0.5757033534074243,0.0002462100484890231,0.017707252502441408,0.0034095823206873295,0.010660600662231446,0.0015125940729435671,0.7932115316390991,0.02813905134078207,0.9455902899197698,0.00701344970499168,0.5940590373936582,0.03622629957255293,0.49210305241025043,0.05893513596676872,N/A,N/A
LogReg+MLP,0.1635975077816207,0.01069442919207,0.0013971814599547,1.6573970556698634e-05,0.6970873786407766,0.0017725649110199493,0.6879600311640052,0.0022235540709193364,0.5799809916333863,0.002284332264894079,0.040170796282869306,0.002452115850847065,0.03918555295256228,0.0033186960348727604,0.7575127720832825,0.011357262392561584,1.0,0.0,0.655827708202387,0.0,0.5553013015430112,0.0,0.18770226537216828,0.0
