Model,train_time_mean(s),train_time_std,predict_time_mean(s),predict_time_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,logloss_mean,logloss_std,accuracy_overfitting_gap_mean,accuracy_overfitting_gap_sd,loss_overfitting_gap_mean,loss_overfitting_gap_sd,faithfulness_mean,faithfulness_std,stability_mean,stability_std,local_sparsity_mean,local_sparsity_std,global_sparsity_mean,global_sparsity_std,transparency_mean,transparency_sd
MLP+SHAP,34.497765384028405,0.064681244297407,0.012463386876916,0.001154255056708,0.9041582045368489,0.003426321229842862,0.8628051632544288,0.007016313902766626,0.24014721348118856,0.007980871571401389,-0.02276155948638916,0.0018345185459227805,-0.04766029715538025,0.0023917457643748458,0.8061553001403808,0.017802984259883796,0.8501454350825112,0.003184103999558988,0.6756633793563093,0.004614536354858397,0.584010332904038,0.009389623572954624,N/A,N/A
NAM,21.092201905970093,0.9337059414038064,0.028148228469848,0.0005521976171625,0.7297132628825169,0.0006541807409444283,0.5465653680644107,0.014650253953402494,0.6158839068693887,0.003075927247910771,6.740093231201172e-05,0.00034496518987259863,0.000423121452331543,0.00017656491170974675,0.6750259041786194,0.014512259777633367,0.9853452178258302,0.0034478728285474735,0.6715765963110366,0.027346235661246294,0.659533133661139,0.034438672227438426,N/A,N/A
LogReg+MLP,5.155676828058107,0.037878840339231,0.0122176290982558,0.0001013223549702,0.8497229011049534,0.006166102583407989,0.7677254488281282,0.01197368485307114,0.36892599732078196,0.010019260117523727,0.002914459467212316,0.0005134986111996978,0.006738309324943792,0.00016761193562889155,0.7289319515228272,0.033650391089093235,1.0,0.0,0.8488815817668314,0.0,0.8464785167523289,1.2412670766236366e-16,0.07085814601906991,0.0
